"championid","championname","teamposition","build","participant_count","win","firstbloodkill","firstbloodassist","firsttowerkill","firsttowerassist","champlevel","champexperience","kills","deaths","assists","doublekills","triplekills","killingsprees","largestkillingspree","largestmultikill","goldearned","goldspent","totaldamagedealt","totaldamagedealttochampions","physicaldamagedealt","physicaldamagedealttochampions","magicdamagedealt","magicdamagedealttochampions","truedamagedealt","truedamagedealttochampions","damagedealttobuildings","damagedealttoturrets","damagedealttoobjectives","damagedealttoepicmonsters","totaldamagetaken","physicaldamagetaken","magicdamagetaken","truedamagetaken","damageselfmitigated","totalheal","totalhealsonteammates","totaldamageshieldedonteammates","timeccingothers","totaltimeccdealt","totalminionskilled","neutralminionskilled","totalallyjungleminionskilled","totalenemyjungleminionskilled","baronkills","dragonkills","inhibitorkills","inhibitortakedowns","inhibitorslost","turretkills","turrettakedowns","turretslost","objectivesstolen","objectivesstolenassists","visionscore","wardsplaced","wardskilled","detectorwardsplaced","visionwardsboughtingame","totaltimespentdead","longesttimespentliving","pings","kda","ka","firstblood_participation","totalprotectiononteammates","expected_frontline_index","expected_effective_durability","expected_vision_denial_ratio","expected_vision_action_score","expected_epic_objective_score","expected_structure_score","expected_snowball_score","expected_damage_per_gold","expected_physical_damage_share","expected_magic_damage_share","expected_true_damage_share","damage_to_taken_ratio","totalcs"
1,"Annie","BOTTOM","ability_power",361,0.53739613,0.12742382,0.10526316,0.07202216,0.038781162,14.747923,460.3554,0.2218531,0.22989777,0.31290105,0.019735046,0.0014536148,0.052586567,2.833795,1.4376731,422.9404,391.8201,4122.7485,832.1891,346.18567,34.231575,3648.1008,769.8572,128.4274,28.067053,139.41296,139.41296,218.62074,48.332535,653.6564,369.88882,257.26437,26.470167,403.9865,60.855556,0.3834964,76.295006,1.046176,9.697317,6.3848853,0.032457832,0.0072782827,0.010371784,0.0006847015,0.0011152719,0.13850416,0.4570637,0.88642657,1.0470914,2.2880886,5.933518,0.000054209064,0.00015776674,0.73559684,0.3262439,0.10317038,0.03466762,0.039274964,6.50579,551.88086,1.3296034,0.53475416,0.53475416,0.23268698,76.6785,1.2709165,1118.4984,0.10317038,0.6288846,0.0027508598,4.5263157,1.4921263,1.9676274,0.041134372,0.92509884,0.033726774,1.2731293,6.417343
1,"Annie","MIDDLE","ability_power",28465,0.52766556,0.09752327,0.084173545,0.040892325,0.018478833,15.288565,507.74652,0.21386276,0.21915944,0.30265215,0.016403615,0.0016523552,0.049418334,2.8073072,1.3839452,403.54868,376.12332,4169.189,863.1098,396.92572,41.53539,3632.0886,788.76636,140.14001,32.777225,133.80614,133.80614,193.23778,30.405947,673.34,345.42084,294.5331,33.35099,429.15277,75.32329,0.403177,71.60212,1.1080215,10.226481,6.549122,0.03184389,0.009967387,0.007868588,0.00042185545,0.00094929745,0.11431583,0.41566837,0.7926225,0.88593006,2.033304,5.8788686,0.00018687034,0.0003007644,0.77372235,0.31573358,0.10196831,0.058828,0.06571868,6.732752,564.84357,1.6654297,0.5165149,0.5165149,0.18169682,72.0053,1.2773494,1177.816,0.10196831,0.7177794,0.0024675133,3.9792025,1.4727802,2.1387997,0.048122946,0.9138656,0.03797573,1.2818335,6.5809655
1,"Annie","MIDDLE","ap_off_tank",395,0.5164557,0.06835443,0.08607595,0.027848102,0.035443038,15.643038,517.2964,0.17155334,0.19999374,0.33295092,0.012395491,0.0009436686,0.040206354,2.4683545,1.2810127,393.02118,368.0272,4061.3767,828.90076,422.77948,46.79821,3523.4746,759.316,115.08901,22.75514,108.099655,108.099655,160.25171,22.181318,761.41504,394.76813,331.22595,35.386707,483.04764,108.18518,0.09814761,87.61495,1.3343887,13.007071,6.5575056,0.02628049,0.009084781,0.005678179,0.00017641838,0.00087142515,0.103797466,0.4227848,0.84303796,0.8607595,2.1949368,6.149367,0,0.0009077406,0.7504851,0.3006616,0.10750405,0.05832659,0.06378598,6.1709094,600.14935,1.8226261,0.50450426,0.50450426,0.15443037,87.7131,1.501341,1352.6478,0.10750405,0.7061428,0.0021320025,4.108861,1.2886664,2.1090486,0.05645816,0.9160517,0.027452188,1.088632,6.583786
1,"Annie","TOP","ability_power",1495,0.5511706,0.10836121,0.050167225,0.115719065,0.020735785,15.911706,541.534,0.1936884,0.21829692,0.27114725,0.012189944,0.0012990923,0.04337055,2.5538461,1.2976589,398.9667,372.31528,4223.1973,871.76733,390.2084,51.158184,3667.478,784.54816,165.47655,36.031094,162.84756,162.84756,222.49086,37.749123,683.43494,390.5159,259.85477,33.029037,459.79276,77.108116,0.6053226,70.928635,1.2035837,10.303091,6.5164084,0.027927285,0.007948156,0.00663606,0.00027578286,0.0005811923,0.103010036,0.43210703,0.7826087,1.0996655,2.2615385,5.8093643,0.00007819367,0.00015393709,0.8079164,0.33343425,0.07762661,0.041416593,0.047098547,6.883093,569.2943,1.478962,0.46483564,0.46483564,0.15852843,71.53396,1.3113908,1220.3358,0.07762661,0.6269044,0.0014430825,4.431438,1.3350817,2.185063,0.0586833,0.8999513,0.04133109,1.2755674,6.544336
1,"Annie","TOP","ap_off_tank",67,0.5074627,0.07462686,0.05970149,0.014925373,0.014925373,16.238806,532.4718,0.12972666,0.19840899,0.28878626,0.0049438085,0.0004326195,0.026275238,1.7462686,1.0746269,372.12048,348.3708,4028.474,823.8364,431.9009,65.03253,3467.3271,731.99615,129.21718,26.77819,100.796684,100.796684,156.80698,25.770025,797.9034,460.3357,306.16757,31.371462,534.3247,121.94605,0.015700325,71.21513,1.3905618,12.559414,6.3754025,0.031201411,0.014498827,0.004774161,0,0,0.04477612,0.43283582,0.880597,0.7910448,1.9552239,6.2985077,0,0.00039712744,0.7814903,0.34979355,0.075569555,0.032546252,0.03642689,6.0927444,628.2985,1.3600829,0.4185129,0.4185129,0.13432837,71.230835,1.6171026,1454.1741,0.075569555,0.6010942,0.00039712744,3.7014925,0.9052186,2.213897,0.07893865,0.88852125,0.032504257,1.0325015,6.4066043
1,"Annie","UTILITY","ability_power",2393,0.5085667,0.087755956,0.1759298,0.040534895,0.097367324,13.18178,376.11453,0.13304363,0.2616593,0.4912613,0.005997947,0.00027627978,0.027211646,1.5156707,1.1211869,328.0988,298.65552,1317.4326,607.0139,135.723,37.024452,1062.5913,533.6234,119.082825,36.335842,58.84225,58.84225,107.96721,31.23514,674.111,382.20715,265.1712,26.697624,327.98276,75.265816,5.9317317,94.60853,1.2481868,5.2719684,1.302982,0.019300623,0.0039728507,0.004411105,0.0002884953,0.0010681588,0.09987464,0.4433765,0.8031759,0.44755536,1.8880067,5.860844,0.0001717356,0.00044274982,2.702664,1.1581339,0.27862865,0.15594888,0.14579675,6.426192,505.91852,1.7784251,0.62430495,0.62430495,0.26368576,100.54026,1.650858,1077.3596,0.19392812,2.179568,0.0024313703,3.4220643,0.7915975,1.850095,0.060994405,0.8790959,0.059859984,0.9004658,1.3222826
1,"Annie","UTILITY","ap_off_tank",214,0.54672897,0.037383176,0.1542056,0.028037382,0.088785045,13.093458,369.42053,0.101765744,0.2275559,0.5142302,0.004686885,0.00060484285,0.018641278,1.1028037,1.0841122,316.56967,286.7573,1107.4166,511.95602,135.63089,39.671844,858.86536,445.7776,112.88758,26.478193,51.74814,51.74814,92.57018,30.493954,710.1459,390.89767,289.17252,30.040588,352.46643,107.16667,15.666602,121.14768,1.4073546,6.8971767,1.2072142,0.014608915,0.0022486618,0.0019948178,0.0006083293,0.0014535884,0.07943925,0.5140187,0.7943925,0.38785046,2.135514,5.771028,0,0.0003338654,2.879352,1.2580144,0.29933572,0.19400817,0.17145099,5.462887,548.9159,1.7603211,0.61599594,0.61599594,0.19158879,136.81429,2.0755928,1169.7789,0.19220836,2.4379363,0.0030041123,3.7102804,0.5759397,1.6171986,0.077490725,0.87073416,0.051719666,0.72091675,1.2218231
1,"Annie","UTILITY","utility_enchanter",468,0.5491453,0.06410257,0.15811966,0.027777778,0.091880344,12.431623,361.29636,0.08054204,0.21981837,0.5459008,0.002227493,0,0.014244237,0.7863248,0.8974359,308.3649,276.4772,901.9462,421.37436,140.49565,43.010166,666.94556,361.04883,94.4678,17.285988,49.551105,49.551105,83.95933,23.324045,627.0964,353.66653,248.88559,24.5083,321.12885,109.92285,27.615509,148.35352,1.2876711,5.0935936,1.064628,0.009745484,0.0014289821,0.0012566469,0.00020456527,0.00073860894,0.07692308,0.44230768,0.6282051,0.30128205,2.0961537,5.0576925,0,0.00028938652,2.764939,1.2143275,0.29501134,0.19313858,0.18159871,5.0249267,545.0876,1.8540292,0.6264429,0.6264429,0.22222222,175.96902,2.2503154,1058.1481,0.19545734,2.406319,0.001437126,3.4358974,0.4096341,1.3664795,0.10207115,0.8568363,0.041022874,0.67194515,1.0743735
1,"Annie","UTILITY","utility_protection",582,0.5343643,0.042955328,0.1580756,0.04982818,0.104811,13.015464,368.62567,0.072118476,0.21675783,0.5467406,0.0033580323,0.00018709869,0.013390627,0.77147764,0.92268044,307.4662,278.661,870.2493,401.95963,141.76965,42.432724,633.63367,343.98877,94.80837,15.510416,49.58316,49.58316,82.83517,22.047045,648.9056,361.29156,263.3691,24.2098,342.25046,191.52318,101.84807,192.67462,1.221481,4.352951,1.0262042,0.014333712,0.0023899158,0.0015473295,0.00026583896,0.0014102863,0.077319585,0.48281786,0.7869416,0.37628865,2.353952,5.7766323,0.00011095217,0.00016213421,2.8266106,1.2304137,0.29515722,0.18219233,0.1653554,5.183696,557.67523,1.8275901,0.6188591,0.6188591,0.20103092,294.52267,2.46581,1182.6792,0.1934733,2.368245,0.0023260028,3.8505154,0.40286168,1.3073295,0.10556465,0.85577947,0.038587,0.61944234,1.040538
2,"Olaf","BOTTOM","ad_off_tank",53,0.4716981,0.056603774,0.18867925,0.28301886,0.056603774,14.490566,463.61584,0.25710657,0.25832418,0.24952559,0.03600753,0.00664058,0.06023207,3.0566037,1.7169812,455.01004,425.05072,4981.6396,792.45013,4341.878,600.4715,14.532865,5.5225987,625.1973,186.43105,241.87285,241.87285,397.29074,72.78786,1142.3243,654.11487,381.53384,106.63973,1187.1881,362.35196,0,0,0.63621086,13.302604,6.6928363,0.12788133,0.04611287,0.042378012,0.00066907535,0.002962293,0.2264151,0.5471698,1,1.9056604,2.8301888,6.3207545,0,0,0.6090786,0.29396692,0.07293645,0.020072933,0.024502555,6.804039,490.11322,1.200311,0.50663215,0.50663215,0.24528302,0,2.939633,2691.8645,0.07293645,0.49252257,0.004300444,6.283019,1.6378226,1.7416103,0.7577404,0.006969017,0.23525901,0.6937173,6.8207173
